"","ID","Genotype","Duration","Dur (ms)","Intensity","Phase","count","Rxn"
"253","RP 1","Tsc2_LE_WT","Alone",300,20,"BBN Rxn",6,390.412168831169
"254","RP 1","Tsc2_LE_WT","Alone",300,20,"BBN TH",6,390.196353658537
"255","RP 1","Tsc2_LE_WT","Alone",300,25,"BBN TH",3,273.063314285714
"256","RP 1","Tsc2_LE_WT","Alone",300,30,"BBN Rxn",6,213.760885572139
"257","RP 1","Tsc2_LE_WT","Alone",300,30,"BBN TH",6,222.479251162791
"258","RP 1","Tsc2_LE_WT","Alone",300,35,"BBN TH",3,232.594424528302
"259","RP 1","Tsc2_LE_WT","Alone",300,40,"BBN Rxn",6,198.831050251256
"260","RP 1","Tsc2_LE_WT","Alone",300,40,"BBN TH",6,189.473644859813
"261","RP 1","Tsc2_LE_WT","Alone",300,45,"BBN TH",2,174.259845070423
"262","RP 1","Tsc2_LE_WT","Alone",300,50,"BBN Rxn",6,194.055025125628
"263","RP 1","Tsc2_LE_WT","Alone",300,50,"BBN TH",3,195.089330275229
"264","RP 1","Tsc2_LE_WT","Alone",300,60,"BBN Rxn",6,169.367702970297
"265","RP 1","Tsc2_LE_WT","Alone",300,60,"BBN TH",3,203.119684684685
"266","RP 1","Tsc2_LE_WT","Alone",300,70,"BBN Rxn",6,125.18802
"267","RP 1","Tsc2_LE_WT","Alone",300,70,"BBN TH",3,135.566275229358
"268","RP 1","Tsc2_LE_WT","Alone",300,80,"BBN Rxn",6,86.0537263681592
"269","RP 1","Tsc2_LE_WT","Mix",50,30,"BBN Rxn",10,390.415201754386
"270","RP 1","Tsc2_LE_WT","Mix",50,30,"BBN TH",5,301.270823529412
"271","RP 1","Tsc2_LE_WT","Mix",50,35,"BBN TH",3,297.90365
"272","RP 1","Tsc2_LE_WT","Mix",50,40,"BBN Rxn",10,306.186
"273","RP 1","Tsc2_LE_WT","Mix",50,40,"BBN TH",5,293.666842857143
"274","RP 1","Tsc2_LE_WT","Mix",50,45,"BBN TH",3,278.273547619048
"275","RP 1","Tsc2_LE_WT","Mix",50,50,"BBN Rxn",10,272.970478873239
"276","RP 1","Tsc2_LE_WT","Mix",50,50,"BBN TH",2,279.11
"277","RP 1","Tsc2_LE_WT","Mix",50,60,"BBN Rxn",10,272.238131386861
"278","RP 1","Tsc2_LE_WT","Mix",50,60,"BBN TH",2,293.122689655172
"279","RP 1","Tsc2_LE_WT","Mix",50,70,"BBN Rxn",10,272.282382352941
"280","RP 1","Tsc2_LE_WT","Mix",50,70,"BBN TH",2,297.266931034483
"281","RP 1","Tsc2_LE_WT","Mix",50,80,"BBN Rxn",10,238.707201438849
"282","RP 1","Tsc2_LE_WT","Mix",100,25,"BBN TH",3,365.948121212121
"283","RP 1","Tsc2_LE_WT","Mix",100,30,"BBN Rxn",10,342.458921259842
"284","RP 1","Tsc2_LE_WT","Mix",100,30,"BBN TH",5,323.195014492754
"285","RP 1","Tsc2_LE_WT","Mix",100,35,"BBN TH",3,271.541878048781
"286","RP 1","Tsc2_LE_WT","Mix",100,40,"BBN Rxn",10,298.319926470588
"287","RP 1","Tsc2_LE_WT","Mix",100,40,"BBN TH",5,298.204916666667
"288","RP 1","Tsc2_LE_WT","Mix",100,45,"BBN TH",3,283.008357142857
"289","RP 1","Tsc2_LE_WT","Mix",100,50,"BBN Rxn",10,286.419522058824
"290","RP 1","Tsc2_LE_WT","Mix",100,50,"BBN TH",2,285.3822
"291","RP 1","Tsc2_LE_WT","Mix",100,60,"BBN Rxn",10,274.287514492754
"292","RP 1","Tsc2_LE_WT","Mix",100,60,"BBN TH",2,271.449724137931
"293","RP 1","Tsc2_LE_WT","Mix",100,70,"BBN Rxn",10,264.067221428571
"294","RP 1","Tsc2_LE_WT","Mix",100,70,"BBN TH",2,232.417965517241
"295","RP 1","Tsc2_LE_WT","Mix",100,80,"BBN Rxn",10,226.165165467626
"296","RP 1","Tsc2_LE_WT","Mix",300,20,"BBN Rxn",10,580.487407407407
"297","RP 1","Tsc2_LE_WT","Mix",300,20,"BBN TH",5,535.266676470588
"298","RP 1","Tsc2_LE_WT","Mix",300,25,"BBN TH",3,321.192075
"299","RP 1","Tsc2_LE_WT","Mix",300,30,"BBN Rxn",10,312.633316546763
"300","RP 1","Tsc2_LE_WT","Mix",300,30,"BBN TH",5,274.130885714286
"301","RP 1","Tsc2_LE_WT","Mix",300,35,"BBN TH",3,295.102097560976
"302","RP 1","Tsc2_LE_WT","Mix",300,40,"BBN Rxn",10,282.11034057971
"303","RP 1","Tsc2_LE_WT","Mix",300,40,"BBN TH",5,279.566071428571
"304","RP 1","Tsc2_LE_WT","Mix",300,45,"BBN TH",3,285.362142857143
"305","RP 1","Tsc2_LE_WT","Mix",300,50,"BBN Rxn",10,280.173644927536
"306","RP 1","Tsc2_LE_WT","Mix",300,50,"BBN TH",2,302.733366666667
"307","RP 1","Tsc2_LE_WT","Mix",300,60,"BBN Rxn",10,258.46299270073
"308","RP 1","Tsc2_LE_WT","Mix",300,60,"BBN TH",2,277.432068965517
"309","RP 1","Tsc2_LE_WT","Mix",300,70,"BBN Rxn",10,249.241551470588
"310","RP 1","Tsc2_LE_WT","Mix",300,70,"BBN TH",2,234.689533333333
"311","RP 1","Tsc2_LE_WT","Mix",300,80,"BBN Rxn",10,217.184789855072
"312","RP 1","Tsc2_LE_WT","Alone",50,30,"BBN Rxn",7,320.599352713178
"313","RP 1","Tsc2_LE_WT","Alone",50,30,"BBN TH",5,283.677049295775
"314","RP 1","Tsc2_LE_WT","Alone",50,35,"BBN TH",3,257.274291139241
"315","RP 1","Tsc2_LE_WT","Alone",50,40,"BBN Rxn",7,274.223109022556
"316","RP 1","Tsc2_LE_WT","Alone",50,40,"BBN TH",5,279.69531292517
"317","RP 1","Tsc2_LE_WT","Alone",50,45,"BBN TH",3,261.630734177215
"318","RP 1","Tsc2_LE_WT","Alone",50,50,"BBN Rxn",7,281.327134615385
"319","RP 1","Tsc2_LE_WT","Alone",50,50,"BBN TH",2,264.210447761194
"320","RP 1","Tsc2_LE_WT","Alone",50,60,"BBN Rxn",7,267.36297338403
"321","RP 1","Tsc2_LE_WT","Alone",50,60,"BBN TH",2,237.019181818182
"322","RP 1","Tsc2_LE_WT","Alone",50,70,"BBN Rxn",7,248.564803030303
"323","RP 1","Tsc2_LE_WT","Alone",50,70,"BBN TH",2,243.098363636364
"324","RP 1","Tsc2_LE_WT","Alone",50,80,"BBN Rxn",7,236.466075757576
"325","RP 2","Tsc2_LE_Het","Alone",100,20,"BBN Rxn",4,523.884691056911
"326","RP 2","Tsc2_LE_Het","Alone",100,20,"BBN TH",5,500.422029411765
"327","RP 2","Tsc2_LE_Het","Alone",100,25,"BBN TH",3,406.340367924528
"328","RP 2","Tsc2_LE_Het","Alone",100,30,"BBN Rxn",4,238.653236263736
"329","RP 2","Tsc2_LE_Het","Alone",100,30,"BBN TH",5,235.248583783784
"330","RP 2","Tsc2_LE_Het","Alone",100,35,"BBN TH",3,238.031092592593
"331","RP 2","Tsc2_LE_Het","Alone",100,40,"BBN Rxn",4,228.478675824176
"332","RP 2","Tsc2_LE_Het","Alone",100,40,"BBN TH",5,201.934557377049
"333","RP 2","Tsc2_LE_Het","Alone",100,45,"BBN TH",3,192.722936363636
"334","RP 2","Tsc2_LE_Het","Alone",100,50,"BBN Rxn",4,197.060784530387
"335","RP 2","Tsc2_LE_Het","Alone",100,50,"BBN TH",2,175.022157894737
"336","RP 2","Tsc2_LE_Het","Alone",100,60,"BBN Rxn",4,186.091413043478
"337","RP 2","Tsc2_LE_Het","Alone",100,60,"BBN TH",2,165.286053333333
"338","RP 2","Tsc2_LE_Het","Alone",100,70,"BBN Rxn",4,160.241683333333
"339","RP 2","Tsc2_LE_Het","Alone",100,70,"BBN TH",2,156.974186666667
"340","RP 2","Tsc2_LE_Het","Alone",100,80,"BBN Rxn",4,119.101866666667
"341","RP 2","Tsc2_LE_Het","Alone",300,20,"BBN Rxn",7,412.812498084291
"342","RP 2","Tsc2_LE_Het","Alone",300,20,"BBN TH",5,371.316609756098
"343","RP 2","Tsc2_LE_Het","Alone",300,25,"BBN TH",3,245.091310344828
